essay_a_id,essay_b_id,pair_id,condition_a,condition_b,cross_condition
66f4f7ad212140211220fee0,674e79192cd6a534d097fa86,pair_0033,No practice,No practice,False
67418b0073a668a4f01c195f,671fae1be03bf361e4a6342e,pair_0034,Practice w AI,No practice,True
60778db7ed3bae21972be1b4,670fc040eb429afca6ec21e0,pair_0035,Practice w AI,No practice,True
6077314ace74aa8fd3f90e9c,6567644b0a4a14cbeaac5a79,pair_0036,Practice w AI,Practice w AI,False
6748cb136c8b12cf06e6b8e1,674665004084064b14f073cf,pair_0037,Practice wo AI,Practice w AI,True
673e12bb731e90ac14d9464c,6737295e43d8fb5b7a84498b,pair_0038,Practice w AI,Practice w AI,False
66e3551244755a4debcd58d8,673ece27f62fd4e495b8731c,pair_0039,Practice w AI,Practice wo AI,True
67542c40610c0a42c85564d3,67274a937bc73438d89976b8,pair_0040,No practice,No practice,False
5cd6c1197b871a0001b13589,673cf6d476dc4af064402a8c,pair_0041,No practice,No practice,False
67357ce504c70a09cead4705,6734a7b09364436b5f4d0bef,pair_0042,No practice,Practice wo AI,True
673c32d8bcf768ce9f55ac33,5cd6c1197b871a0001b13589,pair_0043,Practice wo AI,No practice,True
6750c7eaec05ae2f773b5be9,6744639f3f41b208789e2b15,pair_0044,No practice,Practice w AI,True
673fb829ebd9b9b3c88d4f57,6749e23147701f88fb137f3c,pair_0045,Practice wo AI,Practice w AI,True
67476bf18ef77c29b9ed3ef4,63f809102d5b3a98cb923306,pair_0046,Practice w AI,Practice w AI,False
673a2837d5cb152d08ee5be8,5f89c991f0e3a80101afe091,pair_0047,No practice,Practice w AI,True
673b98ed5c9291ade287dc2d,672f7c36a98c409af1d49bea,pair_0048,No practice,Practice w AI,True
66f0d61cc482b4b76567015d,673db657aea3fbabfc2dc7e9,pair_0049,Practice w AI,Practice wo AI,True
673ab124dd6f6df06b143da0,66d6b541291304cb7e9fcc4e,pair_0050,Practice w AI,No practice,True
66639889ea005547089b6cbf,67178d9d0cab3c8f3a70ca8e,pair_0051,Practice w AI,Practice wo AI,True
672b535d32de33b44a2c2bf8,6229ee11f6b5405956544966,pair_0052,No practice,Practice w AI,True
5e46aa20caec81000b7d4f93,671b808f72d8aafff77cf0a4,pair_0053,Practice wo AI,No practice,True
6742189e9fd5fe9de0d9b729,672ede539bd39a8deecc501d,pair_0054,No practice,Practice wo AI,True
674a1e9ff099f95c96164b67,5f5d6b0def06255d5119a9ba,pair_0055,Practice wo AI,Practice w AI,True
66327d80e38c281ece2d3f1c,638a66471585cb7583285740,pair_0056,Practice w AI,Practice w AI,False
67351d5a16ab59e9f1b0946a,67461b1c9d6e98cb909d1052,pair_0057,Practice w AI,Practice wo AI,True
5fb701a86c3b2e1da0b3235a,6746a1bc28743cbc2c2feaa8,pair_0058,Practice w AI,Practice w AI,False
66df3be52e3a37738fecdf1a,674ecab9c4b5d7e72489cc90,pair_0059,Practice wo AI,No practice,True
672a3e67066f5a781bb96f51,673840bbbf35e7a4a6ad3918,pair_0060,Practice w AI,No practice,True
673bc1b802483aa3f5018d27,674f49392a04ca838a809c9d,pair_0061,No practice,Practice wo AI,True
67530f4304eeee59262e116c,5ec738ce3c7fd317a72dcfe6,pair_0062,Practice w AI,Practice w AI,False
6727dad78b37b3e6c93092ff,674eead0fa651dc021895fd9,pair_0063,Practice w AI,Practice wo AI,True
650c3f3a36d72f87324d708f,66240955715b3b45903381ed,pair_0064,Practice w AI,Practice w AI,False
67073b794c4f1d5d452d23d7,672990f6d28704d466361881,pair_0065,No practice,Practice w AI,True
66afb95e579fb899b5e90ab3,5eb4c6510ef386339dde2a35,pair_0066,Practice wo AI,No practice,True
674f5e7bf97ee4e183c9247e,674ca03cb3b66e7b92461fc4,pair_0067,Practice wo AI,Practice w AI,True
670e2a711df0a045aea8de04,67043b37df9ef06a056c08a7,pair_0068,Practice w AI,Practice w AI,False
5dd95e3c2274978e775f2aff,663a8b9eb077de60d6884574,pair_0069,Practice w AI,Practice wo AI,True
673b3cdce48f221ee513c467,67542c40610c0a42c85564d3,pair_0070,Practice wo AI,No practice,True
6738d0d8a49ff94090a8668a,67418b0073a668a4f01c195f,pair_0071,No practice,Practice w AI,True
674ecb107dac894c50a95473,650c3f3a36d72f87324d708f,pair_0072,Practice w AI,Practice w AI,False
5f6f738fef894f0dbf9839f8,673f1dafec0718eb572db268,pair_0073,Practice wo AI,Practice wo AI,False
672f1ca849e55a65b16736aa,6718c8fc698d34ce5d298fef,pair_0074,Practice w AI,No practice,True
665cd9869a0ffe598b8b84a7,674efe761abf45787d51a7c3,pair_0075,Practice w AI,Practice w AI,False
67472b406557adf9044c6e34,673726b38e7451a580f3c624,pair_0076,No practice,No practice,False
66aa737c246ab5cf919f921c,6019ef82db64741e01adb686,pair_0077,Practice w AI,Practice wo AI,True
610e2de21943396ffccfcf4e,6562c873c8002ad2e44b7b33,pair_0078,No practice,No practice,False
6629adbd155fc3428fedad56,6751f332ae95eef3bdc2f3d2,pair_0079,Practice w AI,Practice w AI,False
6710578884662430d4c6d4b9,6695541a6e0d986b02c25dd9,pair_0080,Practice w AI,No practice,True
6734ab3304b4b5bc58df43cd,6748f02892a5641e585c53b2,pair_0081,Practice w AI,No practice,True
67570e6b659a69f3542f227c,673ce807b23c287507a4230e,pair_0082,No practice,No practice,False
66f636a15a0ec8d9ef572bae,6748cb136c8b12cf06e6b8e1,pair_0083,No practice,Practice wo AI,True
674f6467df47b9f52bafc85e,5f2a13417b4ac51dc95d38c1,pair_0084,Practice w AI,No practice,True
6755cf3ef3d14c0c963b12c3,6748fee70bf23692cd9f0de1,pair_0085,Practice wo AI,No practice,True
66fbce9f6636b088d001a4e9,6718211bee61c726b40afb2b,pair_0086,No practice,Practice wo AI,True
671498899f67df85f33ea053,6744f2b0bc094f0202eee300,pair_0087,Practice wo AI,No practice,True
6724a516c163624782172432,6717ca3a61e52dc226157162,pair_0088,Practice w AI,No practice,True
6737d3a1eea5bb6f29a9fdcd,5dcc3ec7db13278d75c8622f,pair_0089,Practice w AI,Practice wo AI,True
5efc9bc405e069062e0f3a6f,673cd678c75d841b07b4d34a,pair_0090,Practice wo AI,No practice,True
674d8599e34ae51aa4235454,6717ca3a61e52dc226157162,pair_0091,Practice w AI,No practice,True
6740281e046425743a959ce2,65cd90916d6c5ca9f796e9a3,pair_0092,No practice,Practice wo AI,True
674d74930bb10f46df1ca2db,66f0d61cc482b4b76567015d,pair_0093,Practice w AI,Practice w AI,False
5d59b0b61da7d1001aa1a853,5f6f738fef894f0dbf9839f8,pair_0094,Practice wo AI,Practice wo AI,False
673f6c92a931906b3b255300,672e86a538b9e142805a426e,pair_0095,Practice w AI,Practice w AI,False
66311c9747a9466bf5dcf6ba,5d7085f70a426200186bc676,pair_0096,Practice wo AI,No practice,True
672ce0841dfa29f676e37b0f,672f6bb692f6294cbe6e75c0,pair_0097,Practice wo AI,Practice w AI,True
6752dfa83d6bd053f4a82672,5e9f138c34d3e40326507588,pair_0098,No practice,Practice wo AI,True
662bdd8c97c290536da33e88,6695541a6e0d986b02c25dd9,pair_0099,Practice wo AI,No practice,True
60fb024cbfd74cc251c6f9b0,65b274bf676b7b6d6a92a7bc,pair_0100,Practice w AI,Practice wo AI,True
673ed00f3ebd9a8bdb2af956,6742d8af3108e8a56dda101e,pair_0101,No practice,Practice wo AI,True
674219b922bf096aa19e0132,6742189e9fd5fe9de0d9b729,pair_0102,Practice wo AI,No practice,True
67324222a147b9f2c738d0ec,67280753237c0c4258f356a6,pair_0103,No practice,Practice wo AI,True
5d0b7d3a1c9a4e001a11dd19,6736252ad04633e3c76630da,pair_0104,Practice wo AI,Practice w AI,True
5f5de0c1a9ba1163a6f7f78b,65fcdef120c3e7513256ac68,pair_0105,No practice,Practice wo AI,True
6741b2d133472ff2947350bf,5ed68cac121a540dfb82f4ea,pair_0106,Practice wo AI,No practice,True
67408294dde74bdcf6ab3624,673ece27f62fd4e495b8731c,pair_0107,No practice,Practice wo AI,True
63bd8d4ca46f8313570e6fa4,5d203fad20b61f00012aced4,pair_0108,Practice wo AI,No practice,True
5a9ab4944eecca0001dd806a,5e4e844553bc702cdf68404d,pair_0109,No practice,Practice w AI,True
5d18cf6eb3e698001eea9960,6562c873c8002ad2e44b7b33,pair_0110,Practice wo AI,No practice,True
674dfaa7d928f0bfb0084339,5bf336d965825d00017cf3c2,pair_0111,No practice,No practice,False
6751f03363fdbd0a960f7f87,66311c9747a9466bf5dcf6ba,pair_0112,No practice,Practice wo AI,True
673dc43ca2f27f065ca2c6da,673d071d17bf88e3930af5f0,pair_0113,Practice wo AI,Practice wo AI,False
5e2b4e61a7f804000a55eee7,6725b59fd221a054d8cdc72a,pair_0114,No practice,No practice,False
6743ad4dc1bf31373949d647,5fb701a86c3b2e1da0b3235a,pair_0115,No practice,Practice w AI,True
650f0436808ab1edc4264660,5e3e54f69e51f80b67c1cc06,pair_0116,No practice,Practice w AI,True
5d803d51aa53f30015ce5b77,5dd95e3c2274978e775f2aff,pair_0117,Practice wo AI,Practice w AI,True
673dd729602638e2ca0c3cd7,673e4e69ce45d284f16fad2d,pair_0118,No practice,Practice w AI,True
66d8d824887fc4d4c7a873d4,673775d01ea6f13f83478a98,pair_0119,Practice w AI,Practice w AI,False
675345b32d636f68b81a386b,6744e6e3ab71f37420a2b512,pair_0120,Practice w AI,Practice wo AI,True
674065a38ff18a032bc97fa6,67110816ee3ab678f80eed04,pair_0121,No practice,No practice,False
673218a457531caf7e24f2a6,5efc9bc405e069062e0f3a6f,pair_0122,Practice w AI,Practice wo AI,True
6706d57c71b08b435db201ed,66dfab8a51e1e36892dc419a,pair_0123,Practice wo AI,Practice wo AI,False
673b8d1448db4a031a4a90b2,6732ab9b8627904cc6a8a524,pair_0124,Practice wo AI,No practice,True
6757fef215ee6088e0b7fa55,671ad3255a64b6879856e3b8,pair_0125,Practice w AI,No practice,True
671b87c9955ba2507a9a9947,61043313db87223a3f2929ed,pair_0126,No practice,No practice,False
66c6952ac1f2b09e6c930cf8,6727dad78b37b3e6c93092ff,pair_0127,No practice,Practice w AI,True
674a00c98d6b23fcec3273be,67357ce504c70a09cead4705,pair_0128,No practice,No practice,False
671f79a56247ae73ebb20e5c,6129ba3532102d5c539ff29b,pair_0129,Practice wo AI,No practice,True
5dd33f6b2091e93579973754,67469dde494c2b78202fc16e,pair_0130,Practice wo AI,No practice,True
5bfd81fb2feab400014d9060,672a3e67066f5a781bb96f51,pair_0131,Practice wo AI,Practice w AI,True
67474b18c19b12c4feeed5d2,674d74930bb10f46df1ca2db,pair_0132,Practice w AI,Practice w AI,False
5df4892578322533c70aecdf,620bdc0ba922fc3f247f6939,pair_0133,Practice wo AI,Practice wo AI,False
6750f2355fd9ba678f76fa5c,66775344eabb4cc1cbc0120e,pair_0134,Practice wo AI,Practice wo AI,False
674886cc98e540f712e258b3,5c54a532e3c69b0001af7b8c,pair_0135,Practice wo AI,Practice w AI,True
673ead8d8389b11c02a060e9,673b8d1448db4a031a4a90b2,pair_0136,Practice w AI,Practice wo AI,True
61474a17f798ccc4e40383da,67143d6ceca675fc7f56d6ad,pair_0137,No practice,No practice,False
6717b20f3f98b3e3069401e3,6716deaf9d399c9499b878cd,pair_0138,Practice w AI,No practice,True
671e304feab861f71c53159e,6751f332ae95eef3bdc2f3d2,pair_0139,Practice w AI,Practice w AI,False
5be728a4dbedc80001377337,5eb4c6510ef386339dde2a35,pair_0140,Practice wo AI,No practice,True
66e751acca3571686adc14d4,672c07a7e4ed661368e89246,pair_0141,No practice,Practice wo AI,True
5da497568034e40011366267,675345b32d636f68b81a386b,pair_0142,Practice w AI,Practice w AI,False
6701a4d42a2e8c434e0fc50a,6734a7b09364436b5f4d0bef,pair_0143,Practice wo AI,Practice wo AI,False
6716a4d35dcfb3a276097670,6744e6e3ab71f37420a2b512,pair_0144,Practice w AI,Practice wo AI,True
601c1f550370f34ec49ab0b6,673cf6d476dc4af064402a8c,pair_0145,Practice wo AI,No practice,True
673ca896c4ffe7eba1d26499,67073b794c4f1d5d452d23d7,pair_0146,Practice wo AI,No practice,True
6737aa6cfebe4f707b501d47,67570e6b659a69f3542f227c,pair_0147,Practice wo AI,No practice,True
673b4532dad611895a16ae00,5bb7af73dd840f0001d85935,pair_0148,Practice wo AI,Practice wo AI,False
673305eed310a7d38c4fb88c,6727dad78b37b3e6c93092ff,pair_0149,Practice wo AI,Practice w AI,True
672f0bc51dcdd7fd05d5a26b,6744e6e3ab71f37420a2b512,pair_0150,No practice,Practice wo AI,True
6737043554b7adfcf6ccf4c8,6733248e5bd5390d25c71787,pair_0151,Practice wo AI,No practice,True
66f55772a7312a23f27b3196,66aa737c246ab5cf919f921c,pair_0152,Practice w AI,Practice w AI,False
6643cde3471e61890ff943ae,6562c873c8002ad2e44b7b33,pair_0153,No practice,No practice,False
5c22f28d70d93a0001201738,6705ced6e56f5598aa07112d,pair_0154,Practice w AI,Practice w AI,False
62fdda3096b651e5beacf456,674b3b45f390921a88f24747,pair_0155,Practice wo AI,Practice w AI,True
67511986975a960bcf3abf18,6746a1bc28743cbc2c2feaa8,pair_0156,No practice,Practice w AI,True
60e7739644eb45bfddedf039,67274a937bc73438d89976b8,pair_0157,Practice w AI,No practice,True
66ac666f3e030205c277b763,5fb5ef0ab61b9e02d5752768,pair_0158,Practice wo AI,Practice w AI,True
670e3c70da3334b19d83bebc,673b3cdce48f221ee513c467,pair_0159,Practice wo AI,Practice wo AI,False
6748f8e31516667cc3eb71e8,65b274bf676b7b6d6a92a7bc,pair_0160,No practice,Practice wo AI,True
5d654282986878001c2a5db7,66e6d8a2fa6cce78584c8bcd,pair_0161,Practice wo AI,Practice wo AI,False
66957ab0e33f6b17bea3a067,6739909cd20e7e7fcf711ef7,pair_0162,Practice wo AI,No practice,True
6739075d10227690e7d142ed,5d0b7d3a1c9a4e001a11dd19,pair_0163,Practice wo AI,Practice wo AI,False
669d6944d79f7655e42582fc,5e9f138c34d3e40326507588,pair_0164,Practice w AI,Practice wo AI,True
673d1423ff3f7beef3984b8b,5c54a532e3c69b0001af7b8c,pair_0165,Practice w AI,Practice w AI,False
67354657253f396591767b63,58462977d2be990001174ae3,pair_0166,Practice wo AI,Practice wo AI,False
6726f38cd14d8ba8644f2bcf,67354657253f396591767b63,pair_0167,Practice w AI,Practice wo AI,True
6712764f69b9fc3c7a0f0ae7,673ce807b23c287507a4230e,pair_0168,Practice w AI,No practice,True
675440feacddb63cb9d5988b,5e4e844553bc702cdf68404d,pair_0169,No practice,Practice w AI,True
66c41e2528dfe10533b505a9,67224ad15231b5e9538948bd,pair_0170,Practice w AI,Practice wo AI,True
674b32fd39976ab4ec92d7d6,674a1e9ff099f95c96164b67,pair_0171,No practice,Practice wo AI,True
673e2ad54a989f15bc638d5b,671b87c9955ba2507a9a9947,pair_0172,Practice w AI,No practice,True
6717f49882dda1264ded32b9,673db657aea3fbabfc2dc7e9,pair_0173,Practice wo AI,Practice wo AI,False
5c1ffe5295f978000173df84,6726f38cd14d8ba8644f2bcf,pair_0174,No practice,Practice w AI,True
670c4a94154a76c8d4a4bd83,67155947b83a6aee15acbc0d,pair_0175,Practice w AI,Practice w AI,False
67506ddcd40746bb1f460a23,6716b72cb62f2e7204264d3c,pair_0176,No practice,Practice w AI,True
67434ac64ecdf3a681e629cb,6711c745bcc0626c2de36d07,pair_0177,Practice wo AI,Practice w AI,True
67458a62196f76e7fc7b28bf,5d7085f70a426200186bc676,pair_0178,Practice wo AI,No practice,True
672fb08eff9dcbaeeb666b7e,5f371531d5b7e818ee0cf328,pair_0179,No practice,Practice wo AI,True
67206083e8af4cf14439ac21,673215ff162805cf7a252019,pair_0180,No practice,Practice wo AI,True
6655a82a88d0e8cbcc9dff42,6717ca3a61e52dc226157162,pair_0181,Practice wo AI,No practice,True
6725246621f607dc27137c03,673218a457531caf7e24f2a6,pair_0182,Practice w AI,Practice w AI,False
673e249d764205ff4fdc5af1,6717f49882dda1264ded32b9,pair_0183,Practice wo AI,Practice wo AI,False
65b549c67c7791499c09f8a2,650f0436808ab1edc4264660,pair_0184,No practice,No practice,False
65f5cbcd2324b8dd6f3ff42d,5debed6b3820732ef2af3c55,pair_0185,No practice,No practice,False
67445f0269a82fe014b24be0,673ce807b23c287507a4230e,pair_0186,No practice,No practice,False
6720de8a0a6c9c0c3b803fb7,67178d9d0cab3c8f3a70ca8e,pair_0187,No practice,Practice wo AI,True
673af2a9c1f8458caba0ebb8,673305eed310a7d38c4fb88c,pair_0188,Practice wo AI,Practice wo AI,False
6736679e7f59a8570f845b14,67351d5a16ab59e9f1b0946a,pair_0189,Practice wo AI,Practice w AI,True
5e7e5df723c3560d66f2946d,6706d57c71b08b435db201ed,pair_0190,Practice w AI,Practice wo AI,True
662d017cd5d3a0ed42bfe339,6229ee11f6b5405956544966,pair_0191,Practice w AI,Practice w AI,False
6705ced6e56f5598aa07112d,67469dde494c2b78202fc16e,pair_0192,Practice w AI,No practice,True
66dfab8a51e1e36892dc419a,5debed6b3820732ef2af3c55,pair_0193,Practice wo AI,No practice,True
671498899f67df85f33ea053,673f22a6fe1eb8b74492446c,pair_0194,Practice wo AI,No practice,True
6724a516c163624782172432,6129ba3532102d5c539ff29b,pair_0195,Practice w AI,No practice,True
66f4f7ad212140211220fee0,6744f2b0bc094f0202eee300,pair_0196,No practice,No practice,False
669d6944d79f7655e42582fc,6746a1bc28743cbc2c2feaa8,pair_0197,Practice w AI,Practice w AI,False
60e7739644eb45bfddedf039,67472b406557adf9044c6e34,pair_0198,Practice w AI,No practice,True
674efe761abf45787d51a7c3,672f1ca849e55a65b16736aa,pair_0199,Practice w AI,Practice w AI,False
6737043554b7adfcf6ccf4c8,6732ab9b8627904cc6a8a524,pair_0200,Practice wo AI,No practice,True
672ede539bd39a8deecc501d,6655a82a88d0e8cbcc9dff42,pair_0201,Practice wo AI,Practice wo AI,False
6739909cd20e7e7fcf711ef7,60e7739644eb45bfddedf039,pair_0202,No practice,Practice w AI,True
6734010bda95d208801d15b0,6752dfa83d6bd053f4a82672,pair_0203,Practice wo AI,No practice,True
67388a4fd2107e49489b05e6,670e3c70da3334b19d83bebc,pair_0204,Practice w AI,Practice wo AI,True
672f7c36a98c409af1d49bea,65b274bf676b7b6d6a92a7bc,pair_0205,Practice w AI,Practice wo AI,True
617162d1105c7a764aab90b4,673e12bb731e90ac14d9464c,pair_0206,Practice wo AI,Practice w AI,True
6720de8a0a6c9c0c3b803fb7,660b8a64848fe5d8cc2c5444,pair_0207,No practice,No practice,False
66fbce9f6636b088d001a4e9,67143d6ceca675fc7f56d6ad,pair_0208,No practice,No practice,False
67434ac64ecdf3a681e629cb,673d071d17bf88e3930af5f0,pair_0209,Practice wo AI,Practice wo AI,False
5df4892578322533c70aecdf,5e9f138c34d3e40326507588,pair_0210,Practice wo AI,Practice wo AI,False
673ead8d8389b11c02a060e9,5d18cf6eb3e698001eea9960,pair_0211,Practice w AI,Practice wo AI,True
672b535d32de33b44a2c2bf8,673e249d764205ff4fdc5af1,pair_0212,No practice,Practice wo AI,True
6736252ad04633e3c76630da,6744639f3f41b208789e2b15,pair_0213,Practice w AI,Practice w AI,False
672fb08eff9dcbaeeb666b7e,672c07a7e4ed661368e89246,pair_0214,No practice,Practice wo AI,True
6757fef215ee6088e0b7fa55,66e6d8a2fa6cce78584c8bcd,pair_0215,Practice w AI,Practice wo AI,True
670d8b142f87173ffe3b4763,671fae1be03bf361e4a6342e,pair_0216,No practice,No practice,False
674ecb107dac894c50a95473,65b549c67c7791499c09f8a2,pair_0217,Practice w AI,No practice,True
673bc1b802483aa3f5018d27,674dfaa7d928f0bfb0084339,pair_0218,No practice,No practice,False
66eb8427a91699e7d2eefc29,672fe1481ba8b290765e0a76,pair_0219,No practice,Practice wo AI,True
5dcc3ec7db13278d75c8622f,67357ce504c70a09cead4705,pair_0220,Practice wo AI,No practice,True
662d017cd5d3a0ed42bfe339,67388a4fd2107e49489b05e6,pair_0221,Practice w AI,Practice w AI,False
6716a4d35dcfb3a276097670,671b87c9955ba2507a9a9947,pair_0222,Practice w AI,No practice,True
674f6467df47b9f52bafc85e,5a9ab4944eecca0001dd806a,pair_0223,Practice w AI,No practice,True
65fcdef120c3e7513256ac68,6737aa6cfebe4f707b501d47,pair_0224,Practice wo AI,Practice wo AI,False
6077314ace74aa8fd3f90e9c,67530d3f746600868ad35364,pair_0225,Practice w AI,No practice,True
674b32fd39976ab4ec92d7d6,6737295e43d8fb5b7a84498b,pair_0226,No practice,Practice w AI,True
66f55772a7312a23f27b3196,67445f0269a82fe014b24be0,pair_0227,Practice w AI,No practice,True
673e2ad54a989f15bc638d5b,672f1ca849e55a65b16736aa,pair_0228,Practice w AI,Practice w AI,False
5d803d51aa53f30015ce5b77,62fdda3096b651e5beacf456,pair_0229,Practice wo AI,Practice wo AI,False
674219b922bf096aa19e0132,6742d8af3108e8a56dda101e,pair_0230,Practice wo AI,Practice wo AI,False
5d203fad20b61f00012aced4,673ce807b23c287507a4230e,pair_0231,No practice,No practice,False
5e2b4e61a7f804000a55eee7,6710578884662430d4c6d4b9,pair_0232,No practice,Practice w AI,True
6755e7f8aa088eda32fcdc43,5ed68cac121a540dfb82f4ea,pair_0233,Practice wo AI,No practice,True
673ed00f3ebd9a8bdb2af956,6755cf3ef3d14c0c963b12c3,pair_0234,No practice,Practice wo AI,True
6736679e7f59a8570f845b14,60778db7ed3bae21972be1b4,pair_0235,Practice wo AI,Practice w AI,True
674f49392a04ca838a809c9d,610e2de21943396ffccfcf4e,pair_0236,Practice wo AI,No practice,True
6748f8e31516667cc3eb71e8,5f371531d5b7e818ee0cf328,pair_0237,No practice,Practice wo AI,True
672990f6d28704d466361881,66fce373051cafbe0961017b,pair_0238,Practice w AI,Practice w AI,False
66775344eabb4cc1cbc0120e,673dc43ca2f27f065ca2c6da,pair_0239,Practice wo AI,Practice wo AI,False
6718c8fc698d34ce5d298fef,675345b32d636f68b81a386b,pair_0240,No practice,Practice w AI,True
673f6c92a931906b3b255300,5efc9bc405e069062e0f3a6f,pair_0241,Practice w AI,Practice wo AI,True
63f809102d5b3a98cb923306,673cd678c75d841b07b4d34a,pair_0242,Practice w AI,No practice,True
67461b1c9d6e98cb909d1052,675662c8da055bc788c8a805,pair_0243,Practice wo AI,No practice,True
6743ad4dc1bf31373949d647,671fd6f39d8fe673222a5324,pair_0244,No practice,Practice wo AI,True
673fb829ebd9b9b3c88d4f57,672e86a538b9e142805a426e,pair_0245,Practice wo AI,Practice w AI,True
66957ab0e33f6b17bea3a067,6751f03363fdbd0a960f7f87,pair_0246,Practice wo AI,No practice,True
60fd94f3d702e2e637dcc4b1,5f5d6b0def06255d5119a9ba,pair_0247,No practice,Practice w AI,True
674d8599e34ae51aa4235454,663a8b9eb077de60d6884574,pair_0248,Practice w AI,Practice wo AI,True
5da497568034e40011366267,672ce0841dfa29f676e37b0f,pair_0249,Practice w AI,Practice wo AI,True
672bb303dc26d7849dc27a77,65f5cbcd2324b8dd6f3ff42d,pair_0250,Practice wo AI,No practice,True
67477ac7090d737ae33348ea,5da497568034e40011366267,pair_0251,Practice wo AI,Practice w AI,True
66df3be52e3a37738fecdf1a,673db657aea3fbabfc2dc7e9,pair_0252,Practice wo AI,Practice wo AI,False
6717b20f3f98b3e3069401e3,673cd678c75d841b07b4d34a,pair_0253,Practice w AI,No practice,True
66e751acca3571686adc14d4,5aaddb14beaf0b0001707c69,pair_0254,No practice,No practice,False
672f0bc51dcdd7fd05d5a26b,674efe761abf45787d51a7c3,pair_0255,No practice,Practice w AI,True
6739075d10227690e7d142ed,672fb08eff9dcbaeeb666b7e,pair_0256,Practice wo AI,No practice,True
674e79192cd6a534d097fa86,6717ca3a61e52dc226157162,pair_0257,No practice,No practice,False
61474a17f798ccc4e40383da,673b4532dad611895a16ae00,pair_0258,No practice,Practice wo AI,True
673c32d8bcf768ce9f55ac33,674ca03cb3b66e7b92461fc4,pair_0259,Practice wo AI,Practice w AI,True
67408294dde74bdcf6ab3624,60e7739644eb45bfddedf039,pair_0260,No practice,Practice w AI,True
